bbl,bldg,m,og_address,zip code,cd,fc,ss,sa,cc,bin,dev_name,boro,units,transfer,new_address
3033250001,2,M,343 WILSON AVENUE,11221,04,07,18,53,37,3338492,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,343 WILSON AVENUE
3033250001,2,M,347 WILSON AVENUE,11221,04,07,18,53,37,3338492,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,347 WILSON AVENUE
3033250001,3,M,235 LINDEN STREET,11221,04,07,18,53,37,3338491,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,235 LINDEN STREET
3033250001,3,M,239 LINDEN STREET,11221,04,07,18,53,37,3338491,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,239 LINDEN STREET
3033250001,3,M,243 LINDEN STREET,11221,04,07,18,53,37,3338491,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,243 LINDEN STREET
3033250001,3,M,247 LINDEN STREET,11221,04,07,18,53,37,3338491,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,247 LINDEN STREET
3033250001,3,M,251 LINDEN STREET,11221,04,07,18,53,37,3338491,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,251 LINDEN STREET
3033250001,3,M,532 KNICKERBOCKER AVENUE,11221,04,07,18,53,37,3338491,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,532 KNICKERBOCKER AVENUE
3033250001,3,M,528 KNICKERBOCKER AVENUE,11221,04,07,18,53,37,3338491,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,528 KNICKERBOCKER AVENUE
3033250001,3,M,524 KNICKERBOCKER AVENUE,11221,04,07,18,53,37,3338491,BUSHWICK II CDA (GROUP E),brooklyn,276, 7/18/2019,524 KNICKERBOCKER AVENUE
