,bbl,bin,bldg#,m,direction,house_num,street_name,street_type,zip,full_address
1293,5001960001,5146063,17,,,778,HENDERSON,AVENUE,10310,778 HENDERSON AVENUE
1294,5001960001,5095814,2,M,,806,HENDERSON,AVENUE,10310,806 HENDERSON AVENUE
1295,5001960001,5095815,3,M,,780,HENDERSON,AVENUE,10310,780 HENDERSON AVENUE
1296,5001960001,5095816,4,,,770,HENDERSON,AVENUE,10310,770 HENDERSON AVENUE
1297,5001960001,5095816,4,M,,778,HENDERSON,AVENUE,10310,778 HENDERSON AVENUE
1298,5001960001,5095816,4,,,210,BROADWAY,AVENUE,10310,210 BROADWAY AVENUE
1299,5001960001,5095817,5,M,,810,HENDERSON,AVENUE,10310,810 HENDERSON AVENUE
1300,5001960001,5095817,5,,,814,HENDERSON,AVENUE,10310,814 HENDERSON AVENUE
1301,5001960001,5095817,6,M,,240,BROADWAY,AVENUE,10310,240 BROADWAY AVENUE
1302,5001960001,5095817,6,,,230,BROADWAY,AVENUE,10310,230 BROADWAY AVENUE
1303,5001960001,5095819,7,M,,1077,CASTLETON,AVENUE,10310,1077 CASTLETON AVENUE
1304,5001960001,5095820,8,M,,1075,CASTLETON,AVENUE,10310,1075 CASTLETON AVENUE
1305,5001960001,5095822,10,M,,157,ALASKA,STREET,10310,157 ALASKA STREET
1306,5001960001,5136037,11,M,,155,ALASKA,STREET,10310,155 ALASKA STREET
1307,5001960001,5095824,12,M,,1115,CASTLETON,AVENUE,10310,1115 CASTLETON AVENUE
1308,5001960001,5095825,13,M,,1085,CASTLETON,AVENUE,10310,1085 CASTLETON AVENUE
1309,5001960001,5095825,13,,,1083,CASTLETON,AVENUE,10310,1083 CASTLETON AVENUE
1310,5001960001,5095826,14,M,,1065,CASTLETON,AVENUE,10310,1065 CASTLETON AVENUE
1311,5001960001,5095826,15,M,,260,BROADWAY,AVENUE,10310,260 BROADWAY AVENUE
1312,5001960001,5095826,16,M,,244,BROADWAY,AVENUE,10310,244 BROADWAY AVENUE
1313,5001960001,5095821,9,M,,159,ALASKA,STREET,10310,159 ALASKA STREET
1314,3021400026,3341975,1,,,327,ROEBLING,STREET,11211,327 ROEBLING STREET
1315,3021400026,3341975,1,M,,325,ROEBLING,STREET,11211,325 ROEBLING STREET
