address,development_name,current_apts,total_apts,transferred_date
313 LEXINGTON AVENUE,,,,
314 WILSON AVENUE,,,,
315 LEXINGTON AVENUE,,,,
317 LEXINGTON AVENUE,,,,
319 LEXINGTON AVENUE,,,,
319 WILSON AVENUE,,,,
32 GRAFTON STREET,,,,
320 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
320 MILLER AVENUE,,,,
321 ROEBLING STREET,,,,
323 LEXINGTON AVENUE,,,,
323 ROEBLING STREET,,,,
323 WILSON AVENUE,,,,
324 HOWARD AVENUE,,,,
3240 BROADWAY,,,,
325 LEXINGTON AVENUE,,,,
325 ROEBLING STREET,,,,
3250 BROADWAY,,,,
327 LEXINGTON AVENUE,,,,
327 ROEBLING STREET,,,,
327 WILSON AVENUE,,,,
329 LEXINGTON AVENUE,,,,
330 LEXINGTON AVENUE,ARMSTRONG I,369,371,2/12/20
330 MILLER AVENUE,,,,
330 WILSON AVENUE,,,,
331 CENTRAL AVENUE,,,,
331 LEXINGTON AVENUE,,,,
333 ROEBLING STREET,,,,
334 HOWARD AVENUE,,,,
334 LEFFERTS AVENUE,,,,
335 EAST 111 STREET,,66,66,11/30/20
