,full_address,A,B,C,I,,,,,,
385,390 LEXINGTON AVENUE,1,2,1,,,,,,,
386,1710 LAFAYETTE AVENUE,,3,1,,,,,,,
387,1726 STERLING PLACE,,,1,,,,,,,
388,1141 226 DRIVE,2,,1,1,,,,,,
389,545 GREENE AVENUE,6,1,1,,,,,,,
390,46 SOUTH 10 STREET,1,2,1,,,,,,,
391,455 BARBEY STREET,8,1,1,1,,,,,,
392,449 GATES AVENUE,,,1,1,,,,,,
393,441 GATES AVENUE,3,,1,,,,,,,
394,1120 EAST 229 STREET,3,,1,,,,,,,
395,155 ELDERT STREET,6,,1,1,,,,,,
396,302 LEXINGTON AVENUE,10,32,1,2,,,,,,
397,3841 BAYCHESTER AVENUE,2,1,1,,,,,,,
398,375 LEXINGTON AVENUE,3,5,1,1,,,,,,
399,375 CENTRAL AVENUE,9,4,1,1,,,,,,
400,149 WEST 142 STREET,2,3,1,,,,,,,
401,140 HIMROD STREET,2,,1,1,,,,,,
402,73 WILSON STREET,6,5,1,,,,,,,
403,1880 SCHIEFFELIN AVENUE,4,,1,,,,,,,
404,329 LEXINGTON AVENUE,2,1,1,1,,,,,,
405,190 HARMAN STREET,8,1,1,1,,,,,,
406,1394 FRANKLIN AVENUE,2,6,1,,,,,,,
407,105 PALMETTO STREET,2,1,,1,,,,,,
408,1085 CASTLETON AVENUE,1,,,1,,,,,,
409,109 WEST 144 STREET,1,,,,,,,,,
410,110 WEST 139 STREET,1,,,,,,,,,
411,111 SCHOLES STREET,2,4,,,,,,,,
412,1111 PROSPECT AVENUE,1,,,,,,,,,
413,1115 CASTLETON AVENUE,1,,,,,,,,,
414,1115 PROSPECT AVENUE,4,,,3,,,,,,
415,1153 229 DRIVE SOUTH,,,,1,,,,,,
416,116 WEST 139 STREET,1,,,,,,,,,
417,1165 226 DRIVE,1,8,,,,,,,,
418,1210 GATES AVENUE,3,,,1,,,,,,
419,1229 GREENE AVENUE,3,,,1,,,,,,
420,1230 GATES AVENUE,6,,,2,,,,,,
421,1240 GATES AVENUE,5,1,,1,,,,,,
422,1240 GREENE AVENUE,2,,,,,,,,,
423,125 WEST 166 STREET,1,,,1,,,,,,
424,1280 GREENE AVENUE,3,,,,,,,,,
425,1300 GATES AVENUE,3,,,1,,,,,,
426,1375 FRANKLIN AVENUE,1,,,,,,,,,
427,1392 FRANKLIN AVENUE,1,,,,,,,,,
428,140 HARMAN STREET,2,,,1,,,,,,
429,1411 GATES AVENUE,6,1,,1,,,,,,
430,143 PALMETTO STREET,3,1,,1,,,,,,
431,143 WEST 142 STREET,1,,,,,,,,,
432,145 WEST 142 STREET,1,,,,,,,,,
433,153 WEST 142 STREET,1,,,,,,,,,
434,155 ALASKA STREET,1,,,,,,,,,
435,157 ALASKA STREET,1,,,1,,,,,,
436,159 ALASKA STREET,1,,,1,,,,,,
437,161 PALMETTO STREET,2,,,1,,,,,,
438,1620 PACIFIC STREET,6,,,3,,,,,,
439,1630 PACIFIC STREET,2,,,1,,,,,,
440,1640 PACIFIC STREET,3,,,2,,,,,,
441,1650 PACIFIC STREET,3,,,2,,,,,,
442,1670 PACIFIC STREET,2,,,1,,,,,,
443,170 PALMETTO STREET,2,,,1,,,,,,
444,1720 STERLING PLACE,1,,,,,,,,,
445,1765 STERLING PLACE,2,,,1,,,,,,
446,1767 STERLING PLACE,2,,,1,,,,,,
447,1768 STERLING PLACE,2,,,1,,,,,,
448,1770 STERLING PLACE,2,,,1,,,,,,
449,1772 STERLING PLACE,2,,,1,,,,,,
450,1774 STERLING PLACE,2,,,1,,,,,,
451,1790 STERLING PLACE,1,,,,,,,,,
452,1792 STERLING PLACE,2,,,1,,,,,,
453,1794 STERLING PLACE,2,,,1,,,,,,
454,1796 STERLING PLACE,2,,,1,,,,,,
